N	Axis1	Axis2	Axis3	Axis4	Axis5	color	text
462	-0.22271962	-0.086585039	0.053276508	0.010999767	0.037225986	"#0d34f6"	cult
2652	-0.22199989	-0.088855162	0.053048868	0.012156237	0.038569057	"#0d34f6"	cult
463	-0.221701974	-0.092206589	0.051950165	0.013607951	0.038807973	"#0d34f6"	cult
291	-0.222262904	-0.089069002	0.053168757	0.012294479	0.039184225	"#0d34f6"	cult
2826	-0.221258953	-0.089375887	0.053649141	0.010003409	0.039556014	"#0d34f6"	cult
2635	-0.223594563	-0.089757916	0.052567921	0.012003101	0.03936428	"#0d34f6"	cult
2767	-0.221221508	-0.088801237	0.053597197	0.011627494	0.038561062	"#0d34f6"	cult
2839	-0.221635799	-0.090739729	0.053468431	0.013840446	0.040608778	"#0d34f6"	cult
2783	-0.222123087	-0.088272307	0.053351799	0.011205278	0.038237672	"#0d34f6"	cult
2832	-0.221325947	-0.090153274	0.051691339	0.011728254	0.038712642	"#0d34f6"	cult
2843	-0.221136222	-0.090691951	0.05242888	0.013030067	0.039713245	"#0d34f6"	cult
2886	-0.215807424	-0.095118291	0.050802135	0.014878001	0.044868888	"#0d34f6"	cult
2687	-0.222672961	-0.088844553	0.052786205	0.012565017	0.038611041	"#0d34f6"	cult
2659	-0.221964489	-0.089512948	0.052415676	0.012284403	0.038038187	"#0d34f6"	cult
2756	-0.224209427	-0.088962532	0.054159949	0.011780103	0.040006061	"#0d34f6"	cult
2813	-0.222345119	-0.089066083	0.053634441	0.013021856	0.038765308	"#0d34f6"	cult
2743	-0.222560286	-0.089764316	0.053543115	0.010703173	0.040093113	"#0d34f6"	cult
2812	-0.224019093	-0.090808321	0.053367147	0.012646791	0.040695013	"#0d34f6"	cult
2639	-0.223486175	-0.089112101	0.052858558	0.013088518	0.038594672	"#0d34f6"	cult
2806	-0.223013015	-0.089937204	0.053224782	0.011000464	0.038831156	"#0d34f6"	cult
2748	-0.22229007	-0.089584127	0.053093583	0.012532989	0.039898503	"#0d34f6"	cult
2758	-0.223408852	-0.089933416	0.052828919	0.012170359	0.03986032	"#0d34f6"	cult
2778	-0.222738876	-0.08907437	0.052766537	0.012576619	0.038901638	"#0d34f6"	cult
7	-0.223187207	-0.091187904	0.053503802	0.013817312	0.040090189	"#0d34f6"	cult
465	-0.221036989	-0.096404159	0.050951442	0.017245852	0.041263749	"#0d34f6"	cult
467	-0.22240476	-0.094787309	0.050912226	0.014564301	0.040819468	"#0d34f6"	cult
2772	-0.223737091	-0.091382988	0.053475063	0.011648703	0.041988236	"#0d34f6"	cult
2860	-0.222088436	-0.090512465	0.051904604	0.012181094	0.040787073	"#0d34f6"	cult
2744	-0.223801926	-0.089469416	0.05272667	0.013923355	0.042049811	"#0d34f6"	cult
2803	-0.22504332	-0.090411597	0.05382194	0.012037682	0.041066	"#0d34f6"	cult
1	-0.162405096	-0.075050027	0.032035132	0.016324987	0.024210088	"#0d34f6"	cult
370	-0.158930527	-0.070235942	0.031774001	0.018312914	0.023851975	"#0d34f6"	cult
204	-0.171851852	-0.073655286	0.040645867	0.011184321	0.031235006	"#0d34f6"	cult
16	-0.177580549	-0.072834244	0.040798319	-0.002202666	0.03137972	"#0d34f6"	cult
25	-0.171742977	-0.078332873	0.04160226	0.000118047	0.034665505	"#0d34f6"	cult
337	-0.159011259	-0.073339446	0.031221853	0.012642838	0.031533299	"#0d34f6"	cult
137	-0.169724941	-0.075398294	0.037905915	0.014191527	0.025492461	"#0d34f6"	cult
177	-0.172191116	-0.078432884	0.036971562	0.016395936	0.027937155	"#0d34f6"	cult
2716	-0.168757216	-0.076237505	0.036487768	0.015170053	0.025844163	"#0d34f6"	cult
236	-0.171615979	-0.073191852	0.036144876	0.003035112	0.030186583	"#0d34f6"	cult
366	-0.172908791	-0.077507071	0.040640798	-0.003634499	0.03433063	"#0d34f6"	cult
371	-0.1743192	-0.07914652	0.040313719	-0.002290292	0.038883645	"#0d34f6"	cult
2786	-0.178191372	-0.079288553	0.039699996	-0.00218388	0.038112664	"#0d34f6"	cult
2869	-0.199788511	-0.08678603	0.049843386	0.009522305	0.03716816	"#0d34f6"	cult
163	-0.207152439	-0.082392721	0.052804013	0.004076611	0.034885769	"#0d34f6"	cult
2762	-0.208279857	-0.083714844	0.05348377	0.005179179	0.036582889	"#0d34f6"	cult
2753	-0.206715718	-0.081912068	0.053351653	0.00546529	0.034503515	"#0d34f6"	cult
2678	-0.204995498	-0.084079966	0.053666917	0.0049667	0.034986534	"#0d34f6"	cult
2791	-0.205465996	-0.085341647	0.054002551	0.006272824	0.036940287	"#0d34f6"	cult
76	-0.179349208	-0.081216763	0.048096514	-0.004730248	0.037771159	"#0d34f6"	cult
362	-0.171098309	-0.066892027	0.038354113	0.022336569	0.024573864	"#0d34f6"	cult
91	-0.178171098	-0.072341248	0.038500126	0.006346456	0.031281079	"#0d34f6"	cult
320	-0.172497323	-0.068568339	0.035917665	0.017044157	0.02458107	"#0d34f6"	cult
2864	-0.201770055	-0.085777575	0.046370551	0.013121084	0.037706943	"#0d34f6"	cult
