k21	k22	k31	k32	k33	k41	k42	k43	k44	k51	k52	k53	k54	k55	k61	k62	k63	k64	k65	k66	k71	k72	k73	k74	k75	k76	k77	k81	k82	k83	k84	k85	k86	k87	k88	k91	k92	k93	k94	k95	k96	k97	k98	k99
0.999499	0.000501471	0.0106516	0.989248	1.00E-04	0.0932828	0.01704	0.889577	1.00E-04	0.0889946	0.0267206	1.00E-04	0.0833042	0.800881	0.0869371	0.0133139	0.0200845	0.795251	0.0843135	1.00E-04	0.0212803	0.00712892	0.00384504	0.0273125	0.00430702	0.0209178	0.915208	0.0106491	0.0102378	0.031428	0.910897	1.00E-04	0.0112731	0.0248278	0.000587314	0.0355134	0.0197029	0.00799342	0.00809483	0.896291	0.00183535	0.0227257	1.00E-04	0.00774367
0.9999	0.0001	0.00273768	0.997162	1.00E-04	0.0926552	0.0108016	0.896443	1.00E-04	0.0885908	0.0215143	1.00E-04	0.081931	0.807864	0.0918262	0.00687734	0.0181716	0.799692	0.0833325	1.00E-04	0.0251288	0.00360156	0.00148738	0.0239098	0.00147833	0.0187306	0.925664	0.00303162	0.00516877	0.0367467	0.925725	1.00E-04	0.0089274	0.0202004	1.00E-04	0.0340852	0.0177699	0.00843844	0.00255581	0.91143	1.00E-04	0.0202821	1.00E-04	0.00523805
0.9999	0.0001	0.000473454	0.999427	1.00E-04	0.0869907	0.00896605	0.903943	1.00E-04	0.0919504	0.0215944	1.00E-04	0.0806274	0.805728	0.0877708	0.0106706	0.0144089	0.808646	0.0784038	1.00E-04	0.0246653	0.00527416	0.00118616	0.0249782	1.00E-04	0.0164882	0.927308	0.00676094	0.00747618	0.0349514	0.923086	1.00E-04	0.00960601	0.0179196	1.00E-04	0.0357452	0.0125244	0.00765877	0.00501078	0.914468	1.00E-04	0.0187851	1.00E-04	0.00560795
0.9999	0.0001	0.00637198	0.990866	0.00276202	0.0973028	0.0110683	0.891529	1.00E-04	0.0864517	0.0228208	1.00E-04	0.0894475	0.80118	0.0888371	0.0118321	0.0198624	0.795595	0.0837736	1.00E-04	0.0220352	0.00566395	0.00802519	0.0279005	0.00606722	0.0198965	0.910411	0.00402821	0.00936398	0.0326215	0.91043	1.00E-04	0.0142001	0.0228981	0.00635855	0.0324979	0.0169886	0.0113043	0.0042855	0.90081	0.00536283	0.0221824	1.00E-04	0.0064683
0.9999	0.0001	0.005576	0.994324	1.00E-04	0.0923722	0.00952556	0.898002	1.00E-04	0.0894336	0.0230795	1.00E-04	0.083288	0.804099	0.0884707	0.0121912	0.0182959	0.799861	0.0810813	1.00E-04	0.025877	0.00514022	0.00592004	0.0270308	0.0012475	0.0205379	0.914247	1.00E-04	0.00722878	0.036188	0.919466	1.00E-04	0.0135528	0.0215813	0.00178285	0.0327768	0.0176864	0.0141861	0.0043365	0.907289	0.00381798	0.0197071	1.00E-04	1.00E-04
0.9962	0.00379966	0.0134128	0.981753	0.0048343	0.09384	0.0202173	0.885843	1.00E-04	0.0881445	0.0322086	1.00E-04	0.084135	0.795412	0.0863478	0.0124389	0.0246305	0.788908	0.0875752	1.00E-04	0.0190752	0.00893022	0.0139387	0.0330097	0.00792425	0.0256404	0.891481	1.00E-04	0.00910668	0.034791	0.902358	1.00E-04	0.0198059	0.0277586	0.00597999	0.0348742	0.0170092	0.0156622	0.00665731	0.888655	0.00987606	0.0270657	1.00E-04	1.00E-04
0.9999	0.0001	0.00582903	0.99342	0.000750974	0.0930766	0.0112374	0.895586	1.00E-04	0.0922664	0.0245242	1.00E-04	0.0804405	0.802669	0.0883223	0.0121235	0.0187125	0.801337	0.079405	1.00E-04	0.0239998	0.00569947	0.0078762	0.0286577	1.00E-04	0.0199397	0.913727	0.0084968	0.00816872	0.0314139	0.914746	1.00E-04	0.0134975	0.0202877	0.00328926	0.0336924	0.0138269	0.0131102	0.00318251	0.903363	0.00668668	0.0224547	1.00E-04	0.00358377
0.9999	0.0001	1.00E-04	0.999305	0.000595462	0.0897325	0.00632405	0.903843	1.00E-04	0.0844311	0.0177413	1.00E-04	0.0852408	0.812487	0.0832004	0.00915973	0.0169267	0.808937	0.0816765	1.00E-04	0.0141378	0.000789216	0.00991675	0.0318489	0.00133373	0.0170407	0.924933	0.00437778	0.00379179	0.02641	0.92257	1.00E-04	0.0191956	0.0193829	0.00417179	0.0297626	0.0126216	0.0159794	0.00135587	0.912125	0.00432595	0.0193277	1.00E-04	0.00440154
0.9999	0.0001	1.00E-04	0.9998	1.00E-04	0.101553	0.00164587	0.896701	1.00E-04	0.0880416	0.0118771	1.00E-04	0.0927707	0.807211	0.0818761	0.00778302	0.0113594	0.809186	0.0896959	1.00E-04	0.0186689	0.000769115	0.00338768	0.0258885	0.00714864	0.0128986	0.931239	1.00E-04	0.00368082	0.0342098	0.931391	0.000623222	0.012569	0.0173262	1.00E-04	0.0326445	0.016748	0.0104953	0.000283654	0.920629	1.00E-04	0.0144157	0.00458423	1.00E-04
0.9999	0.0001	1.00E-04	0.9998	1.00E-04	0.0961039	1.00E-04	0.903696	1.00E-04	0.0791244	0.00524872	1.00E-04	0.0875675	0.827959	0.0788254	0.00367045	0.00679662	0.821426	0.0891819	1.00E-04	0.0101972	0.00117462	0.00126047	0.028287	0.00923368	0.00876774	0.941079	0.01332	0.00344508	0.0202306	0.943627	1.00E-04	0.00439063	0.0104545	0.00443208	0.0267503	0.0116415	0.00530333	0.000403511	0.930539	1.00E-04	0.0104942	0.00333731	0.0114307
0.9999	0.0001	1.00E-04	0.9998	1.00E-04	0.0924044	0.00322455	0.904271	1.00E-04	0.0797403	0.0161564	1.00E-04	0.0854096	0.818594	0.079171	0.00798886	0.0145715	0.817929	0.08024	1.00E-04	0.0168521	0.00137123	1.00E-04	0.0369784	0.00300052	0.016124	0.925574	0.00615966	0.00430688	0.022395	0.927245	1.00E-04	0.0109916	0.0177937	0.0110081	0.0300627	0.0104702	0.0100976	0.00250541	0.916717	0.00614927	0.0170056	0.000387066	0.00660465
